year,artist,title
1972,School’s Out Alice Cooper,75
1972,Saturday in the Park Chicago,76
1972,Drowning in the Sea of Love Joe Simon,77
1972,Use Me Bill Withers,78
1972,Family Affair Sly & the Family Stone,79
1972,Troglodyte (Cave Man) The Jimmy Castor Bunch,80
1972,The Witch queen of New Orleans Redbone,81
1972,Freddie’s Dead Curtis Mayfield,82
1972,Power of Love Joe Simon,83
1972,Power of Love Joe Simon,84
1972,Taxi Harry Chapin,85
1972,Don’t Say You Don’t Remember Beverly Bremers,86
1972,Sealed with a Kiss Bobby Vinton,87
1972,I Saw the Light Todd Rundgren,88
1972,Motorcycle Mama Sailcat,89
1972,Day by Day Original Cast of Godspell,90
1972,Roundabout Yes,91
1972,Doctor My Eyes Jackson Browne,92
1972,I’d Like to Teach the World to Sing (In Perfect Harmony) The New Seekers,93
1972,Vincent Don McLean,94
1972,Baby Let Me Take You (In My Arms) The Detroit Emeralds,95
1972,Speak to the Sky Rick Springfield,96
1972,I’d Like to Teach the World to Sing (In Perfect Harmony) The Hillside Singers,97
1972,Walkin’ in the Rain with the One I Love Love Unlimited,98
1972,Get on the Good Foot James Brown,99
1972,Pop That Thang The Isley Brothers,100
1972,Roberta Flack,The First Time Ever I Saw Your Face
1972,Gilbert O’Sullivan,Alone Again (Naturally)
1972,Don McLean,American Pie
1972,Harry Nilsson,Without You
1972,"Sammy Davis, Jr.",The Candy Man
1972,Joe Tex,I Gotcha
1972,Bill Withers,Lean on Me
1972,Mac Davis,"Baby, Don’t Get Hooked on Me"
1972,Melanie,Brand New Key
1973,Touch Me in the Morning Diana Ross,10
1973,The Night the Lights Went Out in Georgia Vicki Lawrence,11
1973,Playground in My Mind Clint Holmes,12
1973,Brother Louie Stories,13
1973,Delta Dawn Helen Reddy,14
1973,Me and Mrs. Jones Billy Paul,15
1973,Frankenstein The Edgar Winter Group,16
1973,Drift Away Dobie Gray,17
1973,Little Willy Sweet,18
1973,You Are the Sunshine of My Life Stevie Wonder,19
1973,Half-Breed Cher,20
1973,That Lady The Isley Brothers,21
1973,Pillow Talk Sylvia,22
1973,We’re an American Band Grand Funk Railroad,23
1973,Right Place Wrong Time Dr. John,24
1973,Wildflower Skylark,25
1973,Superstition Stevie Wonder,26
1973,Loves Me Like a Rock Paul Simon,27
1973,The Morning After Maureen McGovern,28
1973,Rocky Mountain High John Denver,29
1973,Stuck in the Middle with You Stealers Wheel,30
1973,Shambala Three Dog Nigh,31
1973,Love Train The O’Jays,32
1973,I’m Gonna Love You Just a Little More Baby Barry White,33
1973,"Say, Has Anybody Seen My Sweet Gypsy Rose Tony Orlando and Dawn",34
1973,Keep on Truckin’ Eddie Kendricks,35
1973,Danny’s Song Anne Murray,36
1973,Dancing in the Moonlight King Harvest,37
1973,Monster Mash Bobby Boris Pickett and the Crypt-Kickers,38
1973,Natural High Bloodstone,39
1973,Diamond Girl Seals and Crofts,40
1973,Long Train Runnin’ The Doobie Brothers,41
1973,Give Me Love (Give Me Peace on Earth) George Harrison,42
1973,If You Want Me to Stay Sly & the Family Stone,43
