year,rank,artist,title,chart
1971,78,Timothy The Buoys,87,Top40Weekly Top 100
1971,79,I Woke Up In Love This Morning The Partridge Family,88,Top40Weekly Top 100
1971,80,Theme from Shaft Isaac Hayes,89,Top40Weekly Top 100
1971,81,If I Were Your Woman Gladys Knight & the Pips,90,Top40Weekly Top 100
1971,82,I Am…I Said Neil Diamond,91,Top40Weekly Top 100
1971,83,The Wedding Song (There Is Love) Paul Stookey,92,Top40Weekly Top 100
1971,84,Don’t Knock My Love Wilson Pickett,93,Top40Weekly Top 100
1971,85,Love Her Madly The Doors,94,Top40Weekly Top 100
1971,86,Here Comes the Sun Richie Havens,95,Top40Weekly Top 100
1971,87,Sweet Mary Wadsworth Mansion,96,Top40Weekly Top 100
1971,88,Right on the Tip of My Tongue Brenda & the Tabulations,97,Top40Weekly Top 100
1971,89,One Less Bell to Answer The 5th Dimension,98,Top40Weekly Top 100
1971,90,Riders on the Storm The Doors,99,Top40Weekly Top 100
1971,91,Somos Novios (It’s Impossible) Perry Como,100,Top40Weekly Top 100
1971,92,Three Dog Night,Joy to the World,Top40Weekly Top 100
1971,93,Rod Stewart,Maggie May/Reason to Believe,Top40Weekly Top 100
1971,94,Carole King,It’s Too Late/I Feel the Earth Move,Top40Weekly Top 100
1971,95,The Osmonds,One Bad Apple,Top40Weekly Top 100
1971,96,Bee Gees,How Can You Mend a Broken Heart,Top40Weekly Top 100
1971,97,Paul Revere & the Raiders,Indian Reservation (The Lament of the Cherokee Reservation Indian),Top40Weekly Top 100
1971,98,Donny Osmond,Go Away Little Girl,Top40Weekly Top 100
1971,99,John Denver,"Take Me Home, Country Roads",Top40Weekly Top 100
1971,100,The Temptations,Just My Imagination (Running Away with Me),Top40Weekly Top 100
1972,1,Daddy Don’t You Walk So Fast Wayne Newton,10,Top40Weekly Top 100
1972,2,Let’s Stay Together Al Green,11,Top40Weekly Top 100
1972,3,Brandy (You’re a Fine Girl) Looking Glass,12,Top40Weekly Top 100
1972,4,Oh Girl The Chi-Lites,13,Top40Weekly Top 100
1972,5,Nice to Be with You Gallery,14,Top40Weekly Top 100
1972,6,My Ding-a-Ling Chuck Berry,15,Top40Weekly Top 100
1972,7,(If Loving You Is Wrong) I Don’t Want to Be Right Luther Ingram,16,Top40Weekly Top 100
1972,8,Heart of Gold Neil Young,17,Top40Weekly Top 100
1972,9,"Betcha by Golly, Wow The Stylistics",18,Top40Weekly Top 100
1972,10,I’ll Take You There The Staple Singers,19,Top40Weekly Top 100
1972,11,Ben Michael Jackson,20,Top40Weekly Top 100
1972,12,The Lion Sleeps Tonight Robert John,21,Top40Weekly Top 100
1972,13,Outa-Space Billy Preston,22,Top40Weekly Top 100
1972,14,Slippin’ Into Darkness War,23,Top40Weekly Top 100
1972,15,Long Cool Woman in a Black Dress The Hollies,24,Top40Weekly Top 100
1972,16,How Do You Do Mouth & MacNeal,25,Top40Weekly Top 100
1972,17,Song Sung Blue Neil Diamond,26,Top40Weekly Top 100
1972,18,A Horse with No Name America,27,Top40Weekly Top 100
1972,19,Popcorn Hot Butter,28,Top40Weekly Top 100
1972,20,Everybody Plays the Fool The Main Ingredient,29,Top40Weekly Top 100
1972,21,Precious and Few Climax,30,Top40Weekly Top 100
1972,22,(Last Night) I Didn’t Get to Sleep at All The 5th Dimension,31,Top40Weekly Top 100
1972,23,Nights in White Satin The Moody Blues,32,Top40Weekly Top 100
1972,24,Go All the Way Raspberries,33,Top40Weekly Top 100
1972,25,Too Late to Turn Back Now Cornelius Brothers & Sister Rose,34,Top40Weekly Top 100
1972,26,Back Stabbers The O’Jays,35,Top40Weekly Top 100
1972,27,Down by the Lazy River The Osmonds,36,Top40Weekly Top 100
1972,28,Sunshine Jonathan Edwards,37,Top40Weekly Top 100
1972,29,Starting All Over Again Mel and Tim,38,Top40Weekly Top 100
1972,30,Day After Day Badfinger,39,Top40Weekly Top 100
1972,31,Rocket Man Elton John,40,Top40Weekly Top 100
1972,32,Rockin’ Robin Michael Jackson,41,Top40Weekly Top 100
1972,33,Beautiful Sunday Daniel Boone,42,Top40Weekly Top 100
1972,34,Scorpio Dennis Coffey,43,Top40Weekly Top 100
1972,35,Morning Has Broken Cat Stevens,44,Top40Weekly Top 100
1972,36,City of New Orleans Arlo Guthrie,45,Top40Weekly Top 100
1972,37,Garden Party Ricky Nelson,46,Top40Weekly Top 100
1972,38,I Can See Clearly Now Johnny Nash,47,Top40Weekly Top 100
1972,39,Burning Love Elvis Presley,48,Top40Weekly Top 100
1972,40,Clean Up Woman Betty Wright,49,Top40Weekly Top 100
1972,41,Hold Your Head Up Argent,50,Top40Weekly Top 100
1972,42,Jungle Fever The Chakachas,51,Top40Weekly Top 100
1972,43,Everything I Own Bread,52,Top40Weekly Top 100
1972,44,In the Rain The Dramatics,53,Top40Weekly Top 100
1972,45,Look What You Done for Me Al Green,54,Top40Weekly Top 100
1972,46,The Happiest Girl in the Whole U.S.A. Donna Fargo,55,Top40Weekly Top 100
1972,47,Get It On T. Rex,56,Top40Weekly Top 100
1972,48,Mother and Child Reunion Paul Simon,57,Top40Weekly Top 100
1972,49,Where Is the Love Roberta Flack & Donny Hathaway,58,Top40Weekly Top 100
1972,50,I’m Still in Love with You Al Green,59,Top40Weekly Top 100
1972,51,Layla Derek and the Dominos,60,Top40Weekly Top 100
1972,52,Day Dreaming Aretha Franklin,61,Top40Weekly Top 100
1972,53,The Way of Love Cher,62,Top40Weekly Top 100
1972,54,Black and White Three Dog Night,63,Top40Weekly Top 100
1972,55,Sylvia’s Mother Dr. Hook & The Medicine Show,64,Top40Weekly Top 100
1972,56,Hurting Each Other The Carpenters,65,Top40Weekly Top 100
1972,57,Coconut Harry Nilsson,66,Top40Weekly Top 100
1972,58,Puppy Love Donny Osmond,67,Top40Weekly Top 100
1972,59,You Don’t Mess Around with Jim Jim Croce,68,Top40Weekly Top 100
1972,60,Hot Rod Lincoln Commander Cody and His Lost Planet Airmen,69,Top40Weekly Top 100
1972,61,A Cowboy’s Work Is Never Done Sonny & Cher,70,Top40Weekly Top 100
1972,62,Joy Apollo 100,71,Top40Weekly Top 100
1972,63,Anticipation Carly Simon,72,Top40Weekly Top 100
1972,64,Never Been to Spain Three Dog Night,73,Top40Weekly Top 100
1972,65,Kiss an Angel Good Mornin’ Charley Pride,74,Top40Weekly Top 100
1972,66,School’s Out Alice Cooper,75,Top40Weekly Top 100
1972,67,Saturday in the Park Chicago,76,Top40Weekly Top 100
1972,68,Drowning in the Sea of Love Joe Simon,77,Top40Weekly Top 100
1972,69,Use Me Bill Withers,78,Top40Weekly Top 100
1972,70,Family Affair Sly & the Family Stone,79,Top40Weekly Top 100
1972,71,Troglodyte (Cave Man) The Jimmy Castor Bunch,80,Top40Weekly Top 100
1972,72,The Witch queen of New Orleans Redbone,81,Top40Weekly Top 100
1972,73,Freddie’s Dead Curtis Mayfield,82,Top40Weekly Top 100
1972,74,Power of Love Joe Simon,83,Top40Weekly Top 100
1972,75,Power of Love Joe Simon,84,Top40Weekly Top 100
1972,76,Taxi Harry Chapin,85,Top40Weekly Top 100
1972,77,Don’t Say You Don’t Remember Beverly Bremers,86,Top40Weekly Top 100
1972,78,Sealed with a Kiss Bobby Vinton,87,Top40Weekly Top 100
1972,79,I Saw the Light Todd Rundgren,88,Top40Weekly Top 100
1972,80,Motorcycle Mama Sailcat,89,Top40Weekly Top 100
1972,81,Day by Day Original Cast of Godspell,90,Top40Weekly Top 100
1972,82,Roundabout Yes,91,Top40Weekly Top 100
1972,83,Doctor My Eyes Jackson Browne,92,Top40Weekly Top 100
1972,84,I’d Like to Teach the World to Sing (In Perfect Harmony) The New Seekers,93,Top40Weekly Top 100
1972,85,Vincent Don McLean,94,Top40Weekly Top 100
1972,86,Baby Let Me Take You (In My Arms) The Detroit Emeralds,95,Top40Weekly Top 100
1972,87,Speak to the Sky Rick Springfield,96,Top40Weekly Top 100
1972,88,I’d Like to Teach the World to Sing (In Perfect Harmony) The Hillside Singers,97,Top40Weekly Top 100
1972,89,Walkin’ in the Rain with the One I Love Love Unlimited,98,Top40Weekly Top 100
1972,90,Get on the Good Foot James Brown,99,Top40Weekly Top 100
1972,91,Pop That Thang The Isley Brothers,100,Top40Weekly Top 100
1972,92,Roberta Flack,The First Time Ever I Saw Your Face,Top40Weekly Top 100
1972,93,Gilbert O’Sullivan,Alone Again (Naturally),Top40Weekly Top 100
1972,94,Don McLean,American Pie,Top40Weekly Top 100
1972,95,Harry Nilsson,Without You,Top40Weekly Top 100
1972,96,"Sammy Davis, Jr.",The Candy Man,Top40Weekly Top 100
1972,97,Joe Tex,I Gotcha,Top40Weekly Top 100
1972,98,Bill Withers,Lean on Me,Top40Weekly Top 100
1972,99,Mac Davis,"Baby, Don’t Get Hooked on Me",Top40Weekly Top 100
1972,100,Melanie,Brand New Key,Top40Weekly Top 100
1973,1,Touch Me in the Morning Diana Ross,10,Top40Weekly Top 100
1973,2,The Night the Lights Went Out in Georgia Vicki Lawrence,11,Top40Weekly Top 100
1973,3,Playground in My Mind Clint Holmes,12,Top40Weekly Top 100
1973,4,Brother Louie Stories,13,Top40Weekly Top 100
1973,5,Delta Dawn Helen Reddy,14,Top40Weekly Top 100
1973,6,Me and Mrs. Jones Billy Paul,15,Top40Weekly Top 100
1973,7,Frankenstein The Edgar Winter Group,16,Top40Weekly Top 100
1973,8,Drift Away Dobie Gray,17,Top40Weekly Top 100
1973,9,Little Willy Sweet,18,Top40Weekly Top 100
1973,10,You Are the Sunshine of My Life Stevie Wonder,19,Top40Weekly Top 100
1973,11,Half-Breed Cher,20,Top40Weekly Top 100
1973,12,That Lady The Isley Brothers,21,Top40Weekly Top 100
1973,13,Pillow Talk Sylvia,22,Top40Weekly Top 100
1973,14,We’re an American Band Grand Funk Railroad,23,Top40Weekly Top 100
1973,15,Right Place Wrong Time Dr. John,24,Top40Weekly Top 100
1973,16,Wildflower Skylark,25,Top40Weekly Top 100
1973,17,Superstition Stevie Wonder,26,Top40Weekly Top 100
1973,18,Loves Me Like a Rock Paul Simon,27,Top40Weekly Top 100
1973,19,The Morning After Maureen McGovern,28,Top40Weekly Top 100
1973,20,Rocky Mountain High John Denver,29,Top40Weekly Top 100
1973,21,Stuck in the Middle with You Stealers Wheel,30,Top40Weekly Top 100
1973,22,Shambala Three Dog Nigh,31,Top40Weekly Top 100
1973,23,Love Train The O’Jays,32,Top40Weekly Top 100
1973,24,I’m Gonna Love You Just a Little More Baby Barry White,33,Top40Weekly Top 100
1973,25,"Say, Has Anybody Seen My Sweet Gypsy Rose Tony Orlando and Dawn",34,Top40Weekly Top 100
1973,26,Keep on Truckin’ Eddie Kendricks,35,Top40Weekly Top 100
1973,27,Danny’s Song Anne Murray,36,Top40Weekly Top 100
1973,28,Dancing in the Moonlight King Harvest,37,Top40Weekly Top 100
1973,29,Monster Mash Bobby Boris Pickett and the Crypt-Kickers,38,Top40Weekly Top 100
1973,30,Natural High Bloodstone,39,Top40Weekly Top 100
1973,31,Diamond Girl Seals and Crofts,40,Top40Weekly Top 100
1973,32,Long Train Runnin’ The Doobie Brothers,41,Top40Weekly Top 100
1973,33,Give Me Love (Give Me Peace on Earth) George Harrison,42,Top40Weekly Top 100
1973,34,If You Want Me to Stay Sly & the Family Stone,43,Top40Weekly Top 100
1973,35,Daddy’s Home Jermaine Jackson,44,Top40Weekly Top 100
1973,36,Neither One of Us (Wants to Be the First to Say Goodbye) Gladys Knight & the Pips,45,Top40Weekly Top 100
1973,37,I’m Doin’ Fine Now New York City,46,Top40Weekly Top 100
1973,38,Could It Be I’m Falling in Love The Spinners,47,Top40Weekly Top 100
1973,39,Daniel Elton John,48,Top40Weekly Top 100
1973,40,Midnight Train to Georgia Gladys Knight & the Pips,49,Top40Weekly Top 100
1973,41,Smoke on the Water Deep Purple,50,Top40Weekly Top 100
1973,42,The Cover of the Rolling Stone Dr. Hook & The Medicine Show,51,Top40Weekly Top 100
1973,43,Behind Closed Doors Charlie Rich,52,Top40Weekly Top 100
1973,44,Your Mama Don’t Dance Loggins and Messina,53,Top40Weekly Top 100
1973,45,Feelin’ Stronger Every Day Chicago,54,Top40Weekly Top 100
1973,46,The Cisco Kid War,55,Top40Weekly Top 100
1973,47,Live and Let Die Paul McCartney & Wings,56,Top40Weekly Top 100
1973,48,"Oh, Babe, What Would You Say? Hurricane Smith",57,Top40Weekly Top 100
1973,49,I Believe in You (You Believe in Me) Johnnie Taylor,58,Top40Weekly Top 100
1973,50,Sing The Carpenters,59,Top40Weekly Top 100
1973,51,Ain’t No Woman (Like the One I’ve Got) The Four Tops,60,Top40Weekly Top 100
1973,52,Dueling Banjos Eric Weissberg & Steve Mandell,61,Top40Weekly Top 100
1973,53,Higher Ground Stevie Wonder,62,Top40Weekly Top 100
1973,54,Here I Am (Come and Take Me) Al Green,63,Top40Weekly Top 100
1973,55,My Maria B.W. Stevenson,64,Top40Weekly Top 100
1973,56,Superfly Curtis Mayfield,65,Top40Weekly Top 100
1973,57,ArizonaLast Song Edward Bear,66,Top40Weekly Top 100
1973,58,Get Down Gilbert O’Sullivan,67,Top40Weekly Top 100
1973,59,Reelin’ in the Years Steely Dan,68,Top40Weekly Top 100
1973,60,Hocus Pocus Focus,69,Top40Weekly Top 100
1973,61,Yesterday Once More The Carpenters,70,Top40Weekly Top 100
1973,62,Boogie Woogie Bugle Boy Bette Midler,71,Top40Weekly Top 100
1973,63,Clair Gilbert O’Sullivan,72,Top40Weekly Top 100
1973,64,Do It Again Steely Dan,73,Top40Weekly Top 100
1973,65,Kodachrome Paul Simon,74,Top40Weekly Top 100
